Id;OwnerId;IsDeleted;Name;CurrencyIsoCode;CreatedDate;CreatedById;LastModifiedDate;LastModifiedById;SystemModstamp;Construction__c;Product__c;Gestao_de_Consumos__c;Interconnection_Site__c;Interconnection_Voltage_Level__c;Installation_Type__c;Mobi_E_Connection__c;Technical_Observations__c;Number_of_Charging_Stations__c;Number_of_Equipment_Installed_PIEE__c;Designacao_Local_Interligacao__c;Nivel_Tensao__c;TRE_OPC__c;Asset__c;EV_Charge_Connection__c;Source__c;Responsibility_for_TRE__c;Construction_Name__c;Generate_Template__c;Technical_Control_Template__c;MOBI_E_DPC_Connection__c;Quote__c;Electric_Mobility_Type__c;POD_Production__c;ct_id;salesforce_id;origem;numero_postos_carregamento
a2p7S000000CcmpQAC;0053X00000CS3iMQAT;False;CT-0020694;EUR;2022-01-28T17:46:19.000+0000;0053X00000CS3iMQAT;2024-08-20T13:58:02.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;C;True;;1.0;0.0;;BT;;02i0X00000LErQQQA1;False;GA;;;False;;False;;;;a2p7S000000CcmpQAC;02i0X00000LErQQQA1;GA;1.0
a2p7S000000CcqXQAS;0053X00000CS3iMQAT;False;CT-0020745;EUR;2022-01-28T17:46:34.000+0000;0053X00000CS3iMQAT;2024-08-20T13:57:59.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LErQVQA1;False;GA;;;False;;False;;;;a2p7S000000CcqXQAS;02i0X00000LErQVQA1;GA;1.0
a2p7S000000CcqcQAC;0053X00000CS3iMQAT;False;CT-0020746;EUR;2022-01-28T17:46:35.000+0000;0053X00000CS3iMQAT;2024-08-20T13:57:57.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LErQaQAL;False;GA;;;False;;False;;;;a2p7S000000CcqcQAC;02i0X00000LErQaQAL;GA;1.0
a2p7S000000CcrBQAS;0053X00000CS3iMQAT;False;CT-0020753;EUR;2022-01-28T17:46:36.000+0000;0053X00000CS3iMQAT;2024-08-20T13:58:05.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;C;True;;1.0;0.0;;BT;;02i0X00000LErQfQAL;False;GA;;;False;;False;;;;a2p7S000000CcrBQAS;02i0X00000LErQfQAL;GA;1.0
a2p7S000000CcvhQAC;0053X00000CS3iMQAT;False;CT-0020830;EUR;2022-01-28T17:46:57.000+0000;0053X00000CS3iMQAT;2024-08-20T13:58:07.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;C;True;;1.0;0.0;;BT;;02i0X00000LErQkQAL;False;GA;;;False;;False;;;;a2p7S000000CcvhQAC;02i0X00000LErQkQAL;GA;1.0
a2p7S000000CczpQAC;0053X00000CS3iMQAT;False;CT-0021014;EUR;2022-01-28T17:47:42.000+0000;0053X00000CS3iMQAT;2024-08-20T13:58:01.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;C;True;;1.0;0.0;;BT;;02i0X00000LErQpQAL;False;GA;;;False;;False;;;;a2p7S000000CczpQAC;02i0X00000LErQpQAL;GA;1.0
a2p7S000000Cd5DQAS;0053X00000CS3iMQAT;False;CT-0021030;EUR;2022-01-28T17:47:47.000+0000;0053X00000CS3iMQAT;2024-08-20T13:58:01.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;C;True;;1.0;0.0;;BT;;02i0X00000LErQzQAL;False;GA;;;False;;False;;;;a2p7S000000Cd5DQAS;02i0X00000LErQzQAL;GA;1.0
a2p7S000000Cd5rQAC;0053X00000CS3iMQAT;False;CT-0021046;EUR;2022-01-28T17:47:52.000+0000;0053X00000CS3iMQAT;2024-08-20T13:58:04.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;C;True;;1.0;0.0;;BT;;02i0X00000LErR4QAL;False;GA;;;False;;False;;;;a2p7S000000Cd5rQAC;02i0X00000LErR4QAL;GA;1.0
a2p7S000000CcnUQAS;0053X00000CS3iMQAT;False;CT-0020742;EUR;2022-01-28T17:46:33.000+0000;0053X00000CS3iMQAT;2024-08-20T13:57:59.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LZ3arQAD;False;GA;;;False;;False;;;;a2p7S000000CcnUQAS;02i0X00000LZ3arQAD;GA;1.0
a2p7S000000CcqNQAS;0053X00000CS3iMQAT;False;CT-0020743;EUR;2022-01-28T17:46:33.000+0000;0053X00000CS3iMQAT;2024-08-20T13:57:58.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LZ3asQAD;False;GA;;;False;;False;;;;a2p7S000000CcqNQAS;02i0X00000LZ3asQAD;GA;1.0
