Id;AccountId;salesforce_id;empresa_id;Id_account;Name;NIPC__c;Phone;Email__c;Segment__c;CAE__c;OwnerId;Gestor_de_Servicos__c;Aux_Nome_Concelho__c;Aux_Concelho__c;County__c;Concelho__c;Distrito__c;District__c;Address__c;Postal_Code__c;LastModifiedDate;nome_empresa;cae_id;cae
02i0X00000LErQQQA1;001b0000006CQ1EAAW;02i0X00000LErQQQA1;001b0000006CQ1EAAW;001b0000006CQ1EAAW;EDP COMERCIAL - COMERCIALIZAÇÃO DE ENERGIA, SA;503504564;808505808;ana.mestre@edp.com;DIAMOND;a07Qv00000td2qUIAQ;005b0000000aGHfAAM;0057S000000ZbP9QAK;Lisboa;1106;Lisboa;a0Qb0000006QCdgEAG;a0Mb000000EQWeUEAX;11;Av.ª 24 de Julho;a0A0X00001oeFOpUAM;2026-08-02T01:00:24.000+0000;EDP COMERCIAL - COMERCIALIZAÇÃO DE ENERGIA, SA;a07Qv00000td2qUIAQ;35151
02i0X00000LErQVQA1;001b0000006CbDVAA0;02i0X00000LErQVQA1;001b0000006CbDVAA0;001b0000006CbDVAA0;REPSOL PORTUGUESA, LDA.;500246963;213119000;sgp_s2p_fornecedores@repsol.com;DIAMOND;a07b0000009aRYxAAM;005b00000010uxSAAQ;005b0000005zsTaAAI;Lisboa;1106;Lisboa;a0Qb0000006QCdgEAG;a0Mb000000EQWeUEAX;11;Av. Jose Malhoa;a0Ab0000004cHFOEA2;2026-07-30T10:37:18.000+0000;REPSOL PORTUGUESA, LDA.;a07b0000009aRYxAAM;46711
02i0X00000LErQaQAL;001b0000006CbDVAA0;02i0X00000LErQaQAL;001b0000006CbDVAA0;001b0000006CbDVAA0;REPSOL PORTUGUESA, LDA.;500246963;213119000;sgp_s2p_fornecedores@repsol.com;DIAMOND;a07b0000009aRYxAAM;005b00000010uxSAAQ;005b0000005zsTaAAI;Lisboa;1106;Lisboa;a0Qb0000006QCdgEAG;a0Mb000000EQWeUEAX;11;Av. Jose Malhoa;a0Ab0000004cHFOEA2;2026-07-30T10:37:18.000+0000;REPSOL PORTUGUESA, LDA.;a07b0000009aRYxAAM;46711
02i0X00000LErQfQAL;001b0000006CbDVAA0;02i0X00000LErQfQAL;001b0000006CbDVAA0;001b0000006CbDVAA0;REPSOL PORTUGUESA, LDA.;500246963;213119000;sgp_s2p_fornecedores@repsol.com;DIAMOND;a07b0000009aRYxAAM;005b00000010uxSAAQ;005b0000005zsTaAAI;Lisboa;1106;Lisboa;a0Qb0000006QCdgEAG;a0Mb000000EQWeUEAX;11;Av. Jose Malhoa;a0Ab0000004cHFOEA2;2026-07-30T10:37:18.000+0000;REPSOL PORTUGUESA, LDA.;a07b0000009aRYxAAM;46711
02i0X00000LErQkQAL;001b0000006CbDVAA0;02i0X00000LErQkQAL;001b0000006CbDVAA0;001b0000006CbDVAA0;REPSOL PORTUGUESA, LDA.;500246963;213119000;sgp_s2p_fornecedores@repsol.com;DIAMOND;a07b0000009aRYxAAM;005b00000010uxSAAQ;005b0000005zsTaAAI;Lisboa;1106;Lisboa;a0Qb0000006QCdgEAG;a0Mb000000EQWeUEAX;11;Av. Jose Malhoa;a0Ab0000004cHFOEA2;2026-07-30T10:37:18.000+0000;REPSOL PORTUGUESA, LDA.;a07b0000009aRYxAAM;46711
02i0X00000LErQpQAL;001b0000006CQ1EAAW;02i0X00000LErQpQAL;001b0000006CQ1EAAW;001b0000006CQ1EAAW;EDP COMERCIAL - COMERCIALIZAÇÃO DE ENERGIA, SA;503504564;808505808;ana.mestre@edp.com;DIAMOND;a07Qv00000td2qUIAQ;005b0000000aGHfAAM;0057S000000ZbP9QAK;Lisboa;1106;Lisboa;a0Qb0000006QCdgEAG;a0Mb000000EQWeUEAX;11;Av.ª 24 de Julho;a0A0X00001oeFOpUAM;2026-08-02T01:00:24.000+0000;EDP COMERCIAL - COMERCIALIZAÇÃO DE ENERGIA, SA;a07Qv00000td2qUIAQ;35151
02i0X00000LErQuQAL;001b0000006CQ1EAAW;02i0X00000LErQuQAL;001b0000006CQ1EAAW;001b0000006CQ1EAAW;EDP COMERCIAL - COMERCIALIZAÇÃO DE ENERGIA, SA;503504564;808505808;ana.mestre@edp.com;DIAMOND;a07Qv00000td2qUIAQ;005b0000000aGHfAAM;0057S000000ZbP9QAK;Lisboa;1106;Lisboa;a0Qb0000006QCdgEAG;a0Mb000000EQWeUEAX;11;Av.ª 24 de Julho;a0A0X00001oeFOpUAM;2026-08-02T01:00:24.000+0000;EDP COMERCIAL - COMERCIALIZAÇÃO DE ENERGIA, SA;a07Qv00000td2qUIAQ;35151
02i0X00000LErQzQAL;001b0000006CQ1EAAW;02i0X00000LErQzQAL;001b0000006CQ1EAAW;001b0000006CQ1EAAW;EDP COMERCIAL - COMERCIALIZAÇÃO DE ENERGIA, SA;503504564;808505808;ana.mestre@edp.com;DIAMOND;a07Qv00000td2qUIAQ;005b0000000aGHfAAM;0057S000000ZbP9QAK;Lisboa;1106;Lisboa;a0Qb0000006QCdgEAG;a0Mb000000EQWeUEAX;11;Av.ª 24 de Julho;a0A0X00001oeFOpUAM;2026-08-02T01:00:24.000+0000;EDP COMERCIAL - COMERCIALIZAÇÃO DE ENERGIA, SA;a07Qv00000td2qUIAQ;35151
02i0X00000LErR4QAL;001b0000006CQ1EAAW;02i0X00000LErR4QAL;001b0000006CQ1EAAW;001b0000006CQ1EAAW;EDP COMERCIAL - COMERCIALIZAÇÃO DE ENERGIA, SA;503504564;808505808;ana.mestre@edp.com;DIAMOND;a07Qv00000td2qUIAQ;005b0000000aGHfAAM;0057S000000ZbP9QAK;Lisboa;1106;Lisboa;a0Qb0000006QCdgEAG;a0Mb000000EQWeUEAX;11;Av.ª 24 de Julho;a0A0X00001oeFOpUAM;2026-08-02T01:00:24.000+0000;EDP COMERCIAL - COMERCIALIZAÇÃO DE ENERGIA, SA;a07Qv00000td2qUIAQ;35151
02i0X00000LZ3arQAD;001b0000006CYXzAAO;02i0X00000LZ3arQAD;001b0000006CYXzAAO;001b0000006CYXzAAO;VILA GALÉ SOC DE EMPREENDIMENTOS TURISTICOS SA;501697276;919440019;lagos.compras@vilagale.com;DIAMOND;a07Qv00000td2ryIAA;005b0000000ZEpfAAG;005b0000000ZwTDAA0;Oeiras;1110;Lisboa;a0Qb0000006QCdkEAG;a0Mb000000EQWeUEAX;11;Edifício Vila Galé - Alameda Bonifácio Lázaro Lozano;a0Ab0000004cK9aEAE;2026-08-01T01:09:07.000+0000;VILA GALÉ SOC DE EMPREENDIMENTOS TURISTICOS SA;a07Qv00000td2ryIAA;55101
