Id_x;OwnerId;IsDeleted;Name_x;CurrencyIsoCode_x;CreatedDate_x;CreatedById_x;LastModifiedDate_x;LastModifiedById_x;SystemModstamp_x;Construction__c;Product__c;Gestao_de_Consumos__c;Interconnection_Site__c;Interconnection_Voltage_Level__c;Installation_Type__c;Mobi_E_Connection__c;Technical_Observations__c;Number_of_Charging_Stations__c;Number_of_Equipment_Installed_PIEE__c;Designacao_Local_Interligacao__c;Nivel_Tensao__c;TRE_OPC__c;Asset__c;EV_Charge_Connection__c;Source__c;Responsibility_for_TRE__c;Construction_Name__c;Generate_Template__c;Technical_Control_Template__c;MOBI_E_DPC_Connection__c;Quote__c;Electric_Mobility_Type__c;POD_Production__c;ct_id;salesforce_id;origem;numero_postos_carregamento;Id_y;Name_y;CurrencyIsoCode_y;RecordTypeId;CreatedDate_y;CreatedById_y;LastModifiedDate_y;LastModifiedById_y;SystemModstamp_y;Controlo_Tecnico__c;OtherBrand__c;Equipment_Type__c;Model__c;Warranty_years__c;Accessibility__c;Card_Number__c;GPRS_ICCID__c;ID_Mobi_E__c;Localization__c;Number_of_Points__c;Potencia_kW__c;Serial_Number__c;Observations__c;Fixation_Type__c;Location__Latitude__s;Location__Longitude__s;Location__c;N_Plugs__c;BrandModel__c;Brand_and_Model_Name__c;Material_Code__c;Power_kW_matrix__c;Warranty_years_Matrix__c;Exist_Serial_Number__c;eq_id;latitude;longitude
a2p7S000000CcmpQAC;0053X00000CS3iMQAT;False;CT-0020694;EUR;2022-01-28T17:46:19.000+0000;0053X00000CS3iMQAT;2024-08-20T13:58:02.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;C;True;;1.0;0.0;;BT;;02i0X00000LErQQQA1;False;GA;;;False;;False;;;;a2p7S000000CcmpQAC;02i0X00000LErQQQA1;GA;1.0;a487S000000PCDWQA4;AVR-00007;EUR;0123X000000eQvDQAU;2022-02-11T17:21:00.000+0000;0053X00000CS3iMQAT;2025-05-16T18:51:22.000+0000;005b0000005zonLAAQ;2025-05-16T18:51:22.000+0000;a2p7S000000CcmpQAC;EFACEC;Charging_Post;Efapower EV QC50;1.0;Public;-;-;AVR-00007;Uncovered Outdoor Park;1.0;93.0;02S.S95-01230;;Postalete;40.635765;-8.643486;OrderedDict({'latitude': 40.635765, 'longitude': -8.643486});3.0;a4p7S000000LHxzQAG;Efacec | EV QC50. (CHA50+CCS50+AC43);;93.0;2.0;0.0;a487S000000PCDWQA4;40.635765;-8.643486
a2p7S000000CcqXQAS;0053X00000CS3iMQAT;False;CT-0020745;EUR;2022-01-28T17:46:34.000+0000;0053X00000CS3iMQAT;2024-08-20T13:57:59.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LErQVQA1;False;GA;;;False;;False;;;;a2p7S000000CcqXQAS;02i0X00000LErQVQA1;GA;1.0;a487S000000PCFTQA4;ETR-00001;EUR;0123X000000eQvDQAU;2022-02-11T17:21:21.000+0000;0053X00000CS3iMQAT;2025-05-16T18:51:22.000+0000;005b0000005zonLAAQ;2025-05-16T18:51:22.000+0000;a2p7S000000CcqXQAS;EFACEC;Charging_Post;Efapower EV QC50;1.0;Private with Public Access;-;-;ETR-00001;Service Area;1.0;93.0;02.S9501244;;Postalete;40.755307;-8.53656;OrderedDict({'latitude': 40.755307, 'longitude': -8.53656});3.0;a4p7S000000LHxzQAG;Efacec | EV QC50. (CHA50+CCS50+AC43);;93.0;2.0;0.0;a487S000000PCFTQA4;40.755307;-8.53656
a2p7S000000CcqcQAC;0053X00000CS3iMQAT;False;CT-0020746;EUR;2022-01-28T17:46:35.000+0000;0053X00000CS3iMQAT;2024-08-20T13:57:57.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LErQaQAL;False;GA;;;False;;False;;;;a2p7S000000CcqcQAC;02i0X00000LErQaQAL;GA;1.0;a487S000000PCGuQAO;ETR-00002;EUR;0123X000000eQvDQAU;2022-02-11T17:21:22.000+0000;0053X00000CS3iMQAT;2025-05-16T18:51:22.000+0000;005b0000005zonLAAQ;2025-05-16T18:51:22.000+0000;a2p7S000000CcqcQAC;EFACEC;Charging_Post;Efapower EV QC50;1.0;Private with Public Access;-;-;ETR-00002;Service Area;1.0;93.0;02.S95-01228;;Postalete;40.75567;-8.535197;OrderedDict({'latitude': 40.75567, 'longitude': -8.535197});3.0;a4p7S000000LHxzQAG;Efacec | EV QC50. (CHA50+CCS50+AC43);;93.0;2.0;0.0;a487S000000PCGuQAO;40.75567;-8.535197
a2p7S000000CcrBQAS;0053X00000CS3iMQAT;False;CT-0020753;EUR;2022-01-28T17:46:36.000+0000;0053X00000CS3iMQAT;2024-08-20T13:58:05.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;C;True;;1.0;0.0;;BT;;02i0X00000LErQfQAL;False;GA;;;False;;False;;;;a2p7S000000CcrBQAS;02i0X00000LErQfQAL;GA;1.0;a487S000000PCHOQA4;EVR-00011;EUR;0123X000000eQvDQAU;2022-02-11T17:21:24.000+0000;0053X00000CS3iMQAT;2025-05-16T18:51:22.000+0000;005b0000005zonLAAQ;2025-05-16T18:51:22.000+0000;a2p7S000000CcrBQAS;EFACEC;Charging_Post;Efapower EV QC50;1.0;Private with Public Access;-;-;EVR-00011;Service Area;1.0;93.0;02.S95-01240;;Postalete;38.566785;-7.902409;OrderedDict({'latitude': 38.566785, 'longitude': -7.902409});3.0;a4p7S000000LHxzQAG;Efacec | EV QC50. (CHA50+CCS50+AC43);;93.0;2.0;0.0;a487S000000PCHOQA4;38.566785;-7.902409
a2p7S000000CcvhQAC;0053X00000CS3iMQAT;False;CT-0020830;EUR;2022-01-28T17:46:57.000+0000;0053X00000CS3iMQAT;2024-08-20T13:58:07.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;C;True;;1.0;0.0;;BT;;02i0X00000LErQkQAL;False;GA;;;False;;False;;;;a2p7S000000CcvhQAC;02i0X00000LErQkQAL;GA;1.0;a487S000000PCLpQAO;LSB-01532;EUR;0123X000000eQvDQAU;2022-02-11T17:21:59.000+0000;0053X00000CS3iMQAT;2025-05-16T18:51:22.000+0000;005b0000005zonLAAQ;2025-05-16T18:51:22.000+0000;a2p7S000000CcvhQAC;Magnum Cap;Charging_Post;MC QCA 50;1.0;Private with Public Access;-;-;LSB-01532;Service Area;1.0;93.0;MC-QC08170003;;Postalete;38.762893;-9.14107;OrderedDict({'latitude': 38.762893, 'longitude': -9.14107});3.0;a4p7S000000LHuqQAG;Magnum Cap | MC QCA 50. (CHA50+CCS50+AC43);;93.0;1.0;0.0;a487S000000PCLpQAO;38.762893;-9.14107
a2p7S000000CczpQAC;0053X00000CS3iMQAT;False;CT-0021014;EUR;2022-01-28T17:47:42.000+0000;0053X00000CS3iMQAT;2024-08-20T13:58:01.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;C;True;;1.0;0.0;;BT;;02i0X00000LErQpQAL;False;GA;;;False;;False;;;;a2p7S000000CczpQAC;02i0X00000LErQpQAL;GA;1.0;a487S000000PCQlQAO;VCT-00011;EUR;0123X000000eQvDQAU;2022-02-11T17:23:12.000+0000;0053X00000CS3iMQAT;2025-05-16T18:51:23.000+0000;005b0000005zonLAAQ;2025-05-16T18:51:23.000+0000;a2p7S000000CczpQAC;EFACEC;Charging_Post;Efapower EV QC50;1.0;Public;-;-;VCT-00011;Uncovered Outdoor Park;1.0;93.0;02.S95-01233;;Postalete;41.700731;-8.82329;OrderedDict({'latitude': 41.700731, 'longitude': -8.82329});3.0;a4p7S000000LHxzQAG;Efacec | EV QC50. (CHA50+CCS50+AC43);;93.0;2.0;0.0;a487S000000PCQlQAO;41.700731;-8.82329
a2p7S000000Cd5DQAS;0053X00000CS3iMQAT;False;CT-0021030;EUR;2022-01-28T17:47:47.000+0000;0053X00000CS3iMQAT;2024-08-20T13:58:01.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;C;True;;1.0;0.0;;BT;;02i0X00000LErQzQAL;False;GA;;;False;;False;;;;a2p7S000000Cd5DQAS;02i0X00000LErQzQAL;GA;1.0;a487S000000PCELQA4;VLN-00001;EUR;0123X000000eQvDQAU;2022-02-11T17:23:20.000+0000;0053X00000CS3iMQAT;2025-05-16T18:51:23.000+0000;005b0000005zonLAAQ;2025-05-16T18:51:23.000+0000;a2p7S000000Cd5DQAS;EFACEC;Charging_Post;Efapower EV QC50;1.0;Public;-;-;VLN-00001;Uncovered Outdoor Park;1.0;93.0;02.S95-01237;;Postalete;42.024951;-8.64095;OrderedDict({'latitude': 42.024951, 'longitude': -8.64095});3.0;a4p7S000000LHxzQAG;Efacec | EV QC50. (CHA50+CCS50+AC43);;93.0;2.0;0.0;a487S000000PCELQA4;42.024951;-8.64095
a2p7S000000Cd5rQAC;0053X00000CS3iMQAT;False;CT-0021046;EUR;2022-01-28T17:47:52.000+0000;0053X00000CS3iMQAT;2024-08-20T13:58:04.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;C;True;;1.0;0.0;;BT;;02i0X00000LErR4QAL;False;GA;;;False;;False;;;;a2p7S000000Cd5rQAC;02i0X00000LErR4QAL;GA;1.0;a487S000000PCIrQAO;VRL-00007;EUR;0123X000000eQvDQAU;2022-02-11T17:23:25.000+0000;0053X00000CS3iMQAT;2025-05-16T18:51:23.000+0000;005b0000005zonLAAQ;2025-05-16T18:51:23.000+0000;a2p7S000000Cd5rQAC;EFACEC;Charging_Post;Efapower EV QC50;1.0;Public;-;-;VRL-00007;Interior Park;1.0;93.0;02.S95-01232;;Postalete;41.299868;-7.750163;OrderedDict({'latitude': 41.299868, 'longitude': -7.750163});3.0;a4p7S000000LHxzQAG;Efacec | EV QC50. (CHA50+CCS50+AC43);;93.0;2.0;0.0;a487S000000PCIrQAO;41.299868;-7.750163
a2p7S000000CcnUQAS;0053X00000CS3iMQAT;False;CT-0020742;EUR;2022-01-28T17:46:33.000+0000;0053X00000CS3iMQAT;2024-08-20T13:57:59.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LZ3arQAD;False;GA;;;False;;False;;;;a2p7S000000CcnUQAS;02i0X00000LZ3arQAD;GA;1.0;a487S000000PCGfQAO;ELV-00002;EUR;0123X000000eQvDQAU;2022-02-11T17:21:20.000+0000;0053X00000CS3iMQAT;2025-05-16T18:51:22.000+0000;005b0000005zonLAAQ;2025-05-16T18:51:22.000+0000;a2p7S000000CcnUQAS;Alfen;Charging_Post;Eve Single Pro-line T2S 1PH 1FC 1x7,4kW;1.0;Private with Public Access;926892694;-;ELV-00002;Interior Park;1.0;7.4;82517R033;;Mural;38.880469;-7.167147;OrderedDict({'latitude': 38.880469, 'longitude': -7.167147});1.0;a4p7S000000LI1FQAW;Alfen | Eve Mini. T2S 1PH 1FC 1x3,7kW;;3.7;2.0;0.0;a487S000000PCGfQAO;38.880469;-7.167147
a2p7S000000CcqNQAS;0053X00000CS3iMQAT;False;CT-0020743;EUR;2022-01-28T17:46:33.000+0000;0053X00000CS3iMQAT;2024-08-20T13:57:58.000+0000;005b0000005zonLAAQ;2026-06-23T16:53:08.000+0000;;01t0X000008hGHUQA2;False;;;B;True;;1.0;0.0;;MT;;02i0X00000LZ3asQAD;False;GA;;;False;;False;;;;a2p7S000000CcqNQAS;02i0X00000LZ3asQAD;GA;1.0;a487S000000PCGkQAO;ELV-00003;EUR;0123X000000eQvDQAU;2022-02-11T17:21:20.000+0000;0053X00000CS3iMQAT;2025-05-16T18:51:22.000+0000;005b0000005zonLAAQ;2025-05-16T18:51:22.000+0000;a2p7S000000CcqNQAS;Alfen;Charging_Post;Eve Single Pro-line T2S 1PH 1FC 1x7,4kW;1.0;Private with Public Access;926892629;-;ELV-00003;Interior Park;1.0;7.4;82517R0309;;Mural;38.880469;-7.167147;OrderedDict({'latitude': 38.880469, 'longitude': -7.167147});1.0;a4p7S000000LI1FQAW;Alfen | Eve Mini. T2S 1PH 1FC 1x3,7kW;;3.7;2.0;0.0;a487S000000PCGkQAO;38.880469;-7.167147
