Id;ParentId;case_id;parent_case_id;Id_parent;Symptom__c;Incident_Reason__c;symptom_name;incident_reason_name;macro_symptom
5000X00001hAWzeQAG;;5000X00001hAWzeQAG;;;;;;;outro
5000X00001hg59EQAQ;;5000X00001hg59EQAQ;;;;;;;outro
5000X00001iPmijQAC;;5000X00001iPmijQAC;;;;;;;outro
5000X00001iPmpBQAS;;5000X00001iPmpBQAS;;;;;;;outro
5000X00001j6BmhQAE;;5000X00001j6BmhQAE;;;;;;;outro
5000X00001kWmk1QAC;;5000X00001kWmk1QAC;;;;;;;outro
5000X00001kXIagQAG;;5000X00001kXIagQAG;;;;;;;outro
5000X00001qVjMuQAK;;5000X00001qVjMuQAK;;;;;;;outro
5000X00001r4fTpQAI;;5000X00001r4fTpQAI;;;;;;;outro
5000X000023HQC1QAO;;5000X000023HQC1QAO;;;;;;;outro
5000X000025ho6eQAA;;5000X000025ho6eQAA;;;;;;;outro
5003X00001sG8yaQAC;;5003X00001sG8yaQAC;;;;;;;outro
5003X00001uT5ZYQA0;;5003X00001uT5ZYQA0;;;;;;;outro
5003X00001v4fWJQAY;;5003X00001v4fWJQAY;;;;;;;outro
5003X00001v65C1QAI;;5003X00001v65C1QAI;;;;;;;outro
5003X00001vmmsHQAQ;;5003X00001vmmsHQAQ;;;;;;;outro
5003X00001wId1cQAC;;5003X00001wId1cQAC;;;;;;;outro
5003X00001wIdkHQAS;;5003X00001wIdkHQAS;;;;;;;outro
5003X00001xWIJJQA4;;5003X00001xWIJJQA4;;;;;;;outro
5003X00001xWIa6QAG;;5003X00001xWIa6QAG;;;;;;;outro
5003X00001xWIa9QAG;;5003X00001xWIa9QAG;;;;;;;outro
5003X00001xWIdFQAW;;5003X00001xWIdFQAW;;;;;;;outro
5003X00001xWIuzQAG;;5003X00001xWIuzQAG;;;;;;;outro
5003X00001xWJDzQAO;;5003X00001xWJDzQAO;;;;;;;outro
5003X00001xWK0FQAW;;5003X00001xWK0FQAW;;;;;;;outro
5003X00001xWKHBQA4;;5003X00001xWKHBQA4;;;;;;;outro
5003X00001xWKYHQA4;;5003X00001xWKYHQA4;;;;;;;outro
5003X00001xWKf2QAG;;5003X00001xWKf2QAG;;;;;;;outro
5003X00001xWNNWQA4;;5003X00001xWNNWQA4;;;;;;;outro
5003X00001xWNVFQA4;;5003X00001xWNVFQA4;;;;;;;outro
5003X00001xWOL1QAO;;5003X00001xWOL1QAO;;;;;;;outro
5003X00001xWg1eQAC;;5003X00001xWg1eQAC;;;;;;;outro
5003X00001xWiOuQAK;;5003X00001xWiOuQAK;;;;;;;outro
5003X00001xWiPcQAK;;5003X00001xWiPcQAK;;;;;;;outro
5003X00001xWkjNQAS;;5003X00001xWkjNQAS;;;;;;;outro
5003X00001xWlNFQA0;;5003X00001xWlNFQA0;;;;;;;outro
5003X00001xWlxrQAC;;5003X00001xWlxrQAC;;;;;;;outro
5003X00001xWmDcQAK;;5003X00001xWmDcQAK;;;;;;;outro
5003X00001xWmSuQAK;;5003X00001xWmSuQAK;;;;;;;outro
5003X00001xX14sQAC;;5003X00001xX14sQAC;;;;;;;outro
5003X00001xX9aQQAS;;5003X00001xX9aQQAS;;;;;;;outro
5003X00001xX9ohQAC;;5003X00001xX9ohQAC;;;;;;;outro
5003X00001xXNz3QAG;;5003X00001xXNz3QAG;;;;;;;outro
5003X00001xXO7MQAW;;5003X00001xXO7MQAW;;;;;;;outro
5003X00001xXjmUQAS;;5003X00001xXjmUQAS;;;;;;;outro
5003X00001xXoQhQAK;;5003X00001xXoQhQAK;;;;;;;outro
5003X00001yEIDBQA4;;5003X00001yEIDBQA4;;;;;;;outro
5003X00001yEJXFQA4;;5003X00001yEJXFQA4;;;;;;;outro
5003X00001yEJfeQAG;;5003X00001yEJfeQAG;;;;;;;outro
5003X00001yEJjMQAW;;5003X00001yEJjMQAW;;;;;;;outro
5003X00001yEPJHQA4;;5003X00001yEPJHQA4;;;;;;;outro
5003X00001yEPVmQAO;;5003X00001yEPVmQAO;;;;;;;outro
5003X00001yEy5XQAS;;5003X00001yEy5XQAS;;;;;;;outro
5003X00001yF3d3QAC;;5003X00001yF3d3QAC;;;;;;;outro
5003X00001yF6raQAC;;5003X00001yF6raQAC;;;;;;;outro
5003X00001yFTG8QAO;;5003X00001yFTG8QAO;;;;;;;outro
5003X00001yGPYCQA4;;5003X00001yGPYCQA4;;;;;;;outro
5003X00001yGQUZQA4;;5003X00001yGQUZQA4;;;;;;;outro
5003X00001yGjVxQAK;;5003X00001yGjVxQAK;;;;;;;outro
5003X00001yHGJ4QAO;;5003X00001yHGJ4QAO;;;;;;;outro
5003X00001yHHHsQAO;;5003X00001yHHHsQAO;;;;;;;outro
5003X00001yHc82QAC;;5003X00001yHc82QAC;;;;;;;outro
5003X00001yHdZLQA0;;5003X00001yHdZLQA0;;;;;;;outro
5003X00001yxzIGQAY;;5003X00001yxzIGQAY;;;;;;;outro
5003X00001yzkTBQAY;;5003X00001yzkTBQAY;;;;;;;outro
5003X00001z0PgTQAU;;5003X00001z0PgTQAU;;;;;;;outro
5003X00001z1XQqQAM;;5003X00001z1XQqQAM;;;;;;;outro
5003X00001z1qTRQAY;;5003X00001z1qTRQAY;;;;;;;outro
5003X00001zNCPyQAO;;5003X00001zNCPyQAO;;;;;;;outro
5003X00001zNLMGQA4;;5003X00001zNLMGQA4;;;;;;;outro
5003X00001zNrmXQAS;;5003X00001zNrmXQAS;;;;;;;outro
5003X00001zOWEjQAO;;5003X00001zOWEjQAO;;;;;;;outro
5003X00001zQCUFQA4;;5003X00001zQCUFQA4;;;;;;;outro
5003X00001zQDjyQAG;;5003X00001zQDjyQAG;;;;;;;outro
5003X00001zREhSQAW;;5003X00001zREhSQAW;;;;;;;outro
5003X00001zs4t6QAA;;5003X00001zs4t6QAA;;;;;;;outro
5003X00001zsGttQAE;;5003X00001zsGttQAE;;;;;;;outro
5003X00001ztghgQAA;;5003X00001ztghgQAA;;;;;;;outro
5003X00001ztgxoQAA;;5003X00001ztgxoQAA;;;;;;;outro
5003X00001zthEVQAY;;5003X00001zthEVQAY;;;;;;;outro
5003X00001zthZ9QAI;;5003X00001zthZ9QAI;;;;;;;outro
5003X000020SUTWQA4;;5003X000020SUTWQA4;;;;;;;outro
5003X000020TaqHQAS;;5003X000020TaqHQAS;;;;;;;outro
5003X000020UNHgQAO;;5003X000020UNHgQAO;;;;;;;outro
5003X000020UNvFQAW;;5003X000020UNvFQAW;;;;;;;outro
5003X000020UO0jQAG;;5003X000020UO0jQAG;;;;;;;outro
5003X000020UO2wQAG;;5003X000020UO2wQAG;;;;;;;outro
5003X000020UYxoQAG;;5003X000020UYxoQAG;;;;;;;outro
5003X000020UZCrQAO;;5003X000020UZCrQAO;;;;;;;outro
5003X000020UZCtQAO;;5003X000020UZCtQAO;;;;;;;outro
5003X000020UZdeQAG;;5003X000020UZdeQAG;;;;;;;outro
5003X000020UZleQAG;;5003X000020UZleQAG;;;;;;;outro
5003X000020UZnqQAG;;5003X000020UZnqQAG;;;;;;;outro
5003X000020UZq3QAG;;5003X000020UZq3QAG;;;;;;;outro
5003X000020UZzMQAW;;5003X000020UZzMQAW;;;;;;;outro
5003X000020Ua5UQAS;;5003X000020Ua5UQAS;;;;;;;outro
5003X000020Ua8PQAS;;5003X000020Ua8PQAS;;;;;;;outro
5003X000020UaAoQAK;;5003X000020UaAoQAK;;;;;;;outro
5003X000020UaBxQAK;;5003X000020UaBxQAK;;;;;;;outro
5003X000020UaFTQA0;;5003X000020UaFTQA0;;;;;;;outro
5003X000020UaJ0QAK;;5003X000020UaJ0QAK;;;;;;;outro
5003X000020UaKrQAK;;5003X000020UaKrQAK;;;;;;;outro
5003X000020UaL2QAK;;5003X000020UaL2QAK;;;;;;;outro
5003X000020UaM9QAK;;5003X000020UaM9QAK;;;;;;;outro
5003X000020UaNCQA0;;5003X000020UaNCQA0;;;;;;;outro
5003X000020UaNcQAK;;5003X000020UaNcQAK;;;;;;;outro
5003X000020UaOZQA0;;5003X000020UaOZQA0;;;;;;;outro
5003X000020UaP1QAK;;5003X000020UaP1QAK;;;;;;;outro
5003X000020UaQmQAK;;5003X000020UaQmQAK;;;;;;;outro
5003X000020UaRKQA0;;5003X000020UaRKQA0;;;;;;;outro
5003X000020UaRnQAK;;5003X000020UaRnQAK;;;;;;;outro
5003X000020UaRoQAK;;5003X000020UaRoQAK;;;;;;;outro
5003X000020UaTVQA0;;5003X000020UaTVQA0;;;;;;;outro
5003X000020UaU3QAK;;5003X000020UaU3QAK;;;;;;;outro
5003X000020UaXHQA0;;5003X000020UaXHQA0;;;;;;;outro
5003X000020UaXtQAK;;5003X000020UaXtQAK;;;;;;;outro
5003X000020UaYPQA0;;5003X000020UaYPQA0;;;;;;;outro
5003X000020UaYZQA0;;5003X000020UaYZQA0;;;;;;;outro
5003X000020UaZDQA0;;5003X000020UaZDQA0;;;;;;;outro
5003X000020UaakQAC;;5003X000020UaakQAC;;;;;;;outro
5003X000020UabPQAS;;5003X000020UabPQAS;;;;;;;outro
5003X000020UabdQAC;;5003X000020UabdQAC;;;;;;;outro
5003X000020UabxQAC;;5003X000020UabxQAC;;;;;;;outro
5003X000020UacFQAS;;5003X000020UacFQAS;;;;;;;outro
5003X000020UacNQAS;;5003X000020UacNQAS;;;;;;;outro
5003X000020UacmQAC;;5003X000020UacmQAC;;;;;;;outro
5003X000020UacnQAC;;5003X000020UacnQAC;;;;;;;outro
5003X000020UadeQAC;;5003X000020UadeQAC;;;;;;;outro
5003X000020UadyQAC;;5003X000020UadyQAC;;;;;;;outro
5003X000020UaePQAS;;5003X000020UaePQAS;;;;;;;outro
5003X000020Uaf5QAC;;5003X000020Uaf5QAC;;;;;;;outro
5003X000020UafAQAS;;5003X000020UafAQAS;;;;;;;outro
5003X000020UafFQAS;;5003X000020UafFQAS;;;;;;;outro
5003X000020UafPQAS;;5003X000020UafPQAS;;;;;;;outro
5003X000020UafUQAS;;5003X000020UafUQAS;;;;;;;outro
5003X000020UafeQAC;;5003X000020UafeQAC;;;;;;;outro
5003X000020Uag8QAC;;5003X000020Uag8QAC;;;;;;;outro
5003X000020UagNQAS;;5003X000020UagNQAS;;;;;;;outro
5003X000020UagsQAC;;5003X000020UagsQAC;;;;;;;outro
5003X000020UagwQAC;;5003X000020UagwQAC;;;;;;;outro
5003X000020Uah1QAC;;5003X000020Uah1QAC;;;;;;;outro
5003X000020Uah2QAC;;5003X000020Uah2QAC;;;;;;;outro
5003X000020Uah6QAC;;5003X000020Uah6QAC;;;;;;;outro
5003X000020UahGQAS;;5003X000020UahGQAS;;;;;;;outro
5003X000020UahVQAS;;5003X000020UahVQAS;;;;;;;outro
5003X000020UahaQAC;;5003X000020UahaQAC;;;;;;;outro
5003X000020UahbQAC;;5003X000020UahbQAC;;;;;;;outro
5003X000020UahcQAC;;5003X000020UahcQAC;;;;;;;outro
5003X000020UahpQAC;;5003X000020UahpQAC;;;;;;;outro
5003X000020UahuQAC;;5003X000020UahuQAC;;;;;;;outro
5003X000020UahvQAC;;5003X000020UahvQAC;;;;;;;outro
5003X000020Uai5QAC;;5003X000020Uai5QAC;;;;;;;outro
5003X000020UaiEQAS;;5003X000020UaiEQAS;;;;;;;outro
5003X000020UaiFQAS;;5003X000020UaiFQAS;;;;;;;outro
5003X000020UaiJQAS;;5003X000020UaiJQAS;;;;;;;outro
5003X000020UaiOQAS;;5003X000020UaiOQAS;;;;;;;outro
5003X000020UaidQAC;;5003X000020UaidQAC;;;;;;;outro
5003X000020UaiiQAC;;5003X000020UaiiQAC;;;;;;;outro
5003X000020UaisQAC;;5003X000020UaisQAC;;;;;;;outro
5003X000020Uaj2QAC;;5003X000020Uaj2QAC;;;;;;;outro
5003X000020Uaj3QAC;;5003X000020Uaj3QAC;;;;;;;outro
5003X000020UajCQAS;;5003X000020UajCQAS;;;;;;;outro
5003X000020UajWQAS;;5003X000020UajWQAS;;;;;;;outro
5003X000020UajbQAC;;5003X000020UajbQAC;;;;;;;outro
5003X000020UajlQAC;;5003X000020UajlQAC;;;;;;;outro
5003X000020UajqQAC;;5003X000020UajqQAC;;;;;;;outro
5003X000020UckHQAS;;5003X000020UckHQAS;;;;;;;outro
5003X000020Un9rQAC;;5003X000020Un9rQAC;;;;;;;outro
5003X000020W0gMQAS;;5003X000020W0gMQAS;;;;;;;outro
5003X000020W0jlQAC;;5003X000020W0jlQAC;;;;;;;outro
5003X000020W4qSQAS;;5003X000020W4qSQAS;;;;;;;outro
5003X000020WRBjQAO;;5003X000020WRBjQAO;;;;;;;outro
5003X0000214A7wQAE;;5003X0000214A7wQAE;;;;;;;outro
5003X0000214TPJQA2;;5003X0000214TPJQA2;;;;;;;outro
5003X0000214Tz5QAE;;5003X0000214Tz5QAE;;;;;;;outro
5003X0000214UWjQAM;;5003X0000214UWjQAM;;;;;;;outro
5003X0000214UcmQAE;;5003X0000214UcmQAE;;;;;;;outro
5003X0000215PJbQAM;;5003X0000215PJbQAM;;;;;;;outro
5003X0000216c4aQAA;5003X000020UagwQAC;5003X0000216c4aQAA;5003X000020UagwQAC;5003X000020UagwQAC;;a4S3X000000Xx9JUAS;;Proteções - Disjuntor diferencial - Avariado;outro
5003X000021cBU0QAM;;5003X000021cBU0QAM;;;;;;;outro
5003X000021cBU2QAM;;5003X000021cBU2QAM;;;;;;;outro
5003X000021cuEiQAI;;5003X000021cuEiQAI;;;;;;;outro
5003X000021dl83QAA;;5003X000021dl83QAA;;;;;;;outro
5003X000021doSRQAY;;5003X000021doSRQAY;;;;;;;outro
5003X000021eUMvQAM;;5003X000021eUMvQAM;;;;;;;outro
5003X000021egWNQAY;;5003X000021egWNQAY;;;;;;;outro
5003X00002220fYQAQ;;5003X00002220fYQAQ;;;;;;;outro
5003X0000222urVQAQ;;5003X0000222urVQAQ;;;;;;;outro
